,genes,logfoldchange,pvals
0,PPP1R1C,5.3323163986206055,0.04297730374043321
1,LINC00958,5.181682586669922,2.6090614866451867e-06
2,SRGN,4.605083465576172,5.299910240865933e-07
3,CXCL2,3.9880690574645996,0.012198763683069994
4,PAPPA,3.8410022258758545,0.001222536115505584
5,G0S2,3.306952714920044,4.824241939068587e-39
6,RP11-114H23.2,3.293645143508911,0.02584921443928
7,MMP1,3.1613059043884277,0.00015268008450368016
8,TMC8,3.104814052581787,0.0242218446522066
9,ANKRD1,3.0437064170837402,3.531259266045637e-15
10,BAIAP2L2,2.9132070541381836,1.5861184742887007e-05
11,FHL1,2.9008381366729736,1.1765333460846301e-08
12,ETV5,2.8913769721984863,0.0003115242978497544
13,IL32,2.835047960281372,8.458040005927145e-08
14,FOSL1,2.8309097290039062,1.722975136963925e-36
15,MAD1L1,2.8063080310821533,5.161389429759588e-11
16,CCDC144NL,2.7472972869873047,0.017947777894276394
17,SNHG12,2.7190802097320557,7.791685132158806e-11
18,AREG,2.6206634044647217,1.345629924328174e-50
19,NEURL1,2.6111390590667725,7.240923622215832e-14
20,FOXN2,2.6008310317993164,0.025512358613261257
21,IRF7,2.5426113605499268,0.03088951911974782
22,HLA-G,2.5139999389648438,1.9669444671909536e-16
23,FST,2.5099616050720215,7.408575044993859e-07
24,RASSF1,2.4912779331207275,0.02552575956782287
25,CHAC1,2.4756553173065186,6.576567609817161e-05
26,ARNTL,2.4743950366973877,0.011668799867456026
27,TFPI2,2.4509966373443604,0.0022205135145067743
28,TRIML2,2.4430177211761475,4.096508804808902e-57
29,ODC1,2.4339444637298584,1.767740555382347e-08
30,HBM,2.41302227973938,0.009834141319370928
31,EREG,2.3842670917510986,3.389729232323638e-08
32,NT5E,2.3657262325286865,2.676140335243098e-06
33,PDHX,2.3559093475341797,2.247759789087736e-38
34,RP11-416N2.4,2.3484268188476562,0.012052153197965886
35,HES7,2.3477871417999268,0.03206963087949854
36,LINC00941,2.3381946086883545,0.027313445613517954
37,MICAL2,2.334528923034668,2.808978114341184e-05
38,SNHG15,2.3242900371551514,2.0359687518627826e-19
39,FOXD3-AS1,2.320950746536255,0.0041704635778461495
40,ICAM2,2.280329704284668,0.017928059948541044
41,GAL,2.2506916522979736,9.49252046587805e-64
42,PRRT3-AS1,2.2491331100463867,6.482325153799487e-25
43,TRIB3,2.2489168643951416,0.007578382677951179
44,STC2,2.2419333457946777,4.940629383189404e-11
45,TRPM2,2.2265536785125732,1.436924463039163e-05
46,IL1A,2.2261271476745605,0.0022970860741182353
47,DUSP6,2.206303596496582,1.6430225873600206e-10
48,POLR3G,2.2059459686279297,3.893004742844129e-07
49,TRIM14,2.2013914585113525,0.027692293025196803
50,PUS1,2.201368570327759,3.1315245620816385e-11
51,STK25,2.198989152908325,0.005852399546010137
52,HIST1H2AH,2.1814990043640137,0.010836071985317167
53,NRG1,2.1741485595703125,4.795197828923647e-12
54,INHBA,2.15793514251709,2.8184905017225026e-34
55,PPIF,2.151181697845459,4.6622573955780237e-29
56,MESP1,2.150291681289673,0.0020246102118599914
57,LVRN,2.146597385406494,3.0521940360210803e-06
58,RP11-180O5.2,2.142174005508423,0.00019663262618444967
59,GDF15,2.134765386581421,1.0468971884622853e-10
60,FERMT2,2.130479097366333,4.292575609051809e-06
61,UPP1,2.1147408485412598,4.237829105825201e-31
62,CRKL,2.1120214462280273,0.04580555441221299
63,HIST1H2AJ,2.083916664123535,8.222629593945157e-18
64,RPP40,2.0807106494903564,5.521152725454082e-30
65,BMP2K,2.0793256759643555,0.01945534842339326
66,CLUH,2.075730800628662,0.002939401806700931
67,ESPN,2.071126937866211,3.811536561068192e-09
68,SPANXC,2.059999704360962,9.790581201852287e-06
69,CCDC86,2.0298519134521484,0.03994261855068294
70,SERPINE1,2.027139902114868,0.0005193856735354438
71,CDKN2AIP,2.0194358825683594,0.0007748596843108476
72,BCYRN1,2.0082905292510986,1.0227691043097297e-55
73,TEX40,2.0053040981292725,2.3229689035635132e-05
74,ADAP1,2.0018742084503174,1.5571541427363806e-05
75,TRMT61A,1.9972281455993652,0.00015596116613901222
76,PDCD2L,1.989540457725525,1.7912972872722145e-10
77,FCMR,1.9850443601608276,0.044291832515489175
78,LINC01029,1.97731614112854,6.432244068489836e-06
79,SRM,1.9721252918243408,2.7566846961524865e-43
80,SCLY,1.9717073440551758,0.04952740034473892
81,SLC25A15,1.970117449760437,0.04891725814267014
82,FAM127C,1.969789981842041,0.027923218198056925
83,NDUFAF5,1.9664450883865356,0.0016971422300302297
84,RIOK1,1.9660886526107788,3.0942514538411198e-22
85,PCED1B,1.9594639539718628,5.883139989118294e-05
86,PNO1,1.9573272466659546,1.6318158526229261e-23
87,KLK5,1.9492573738098145,6.395972612351693e-36
88,IL1B,1.946497917175293,0.00012894120654779933
89,TUBB2B,1.9449257850646973,1.652332849688333e-06
90,RRP12,1.9362592697143555,0.0017059986630359725
91,TRIM47,1.9357308149337769,0.0029025897801444015
92,CAMK1,1.9286549091339111,1.3729393432295427e-06
93,CST6,1.9272613525390625,5.754553061875126e-41
94,SLC5A6,1.9237746000289917,0.0020595165653165843
95,BNIP3,1.9106675386428833,6.620243555771006e-27
96,GINS4,1.9086508750915527,0.006622486460503571
97,CD74,1.90215003490448,0.00019942480015474186
98,DMWD,1.8955122232437134,0.044163154387072946
99,NOC3L,1.8890835046768188,6.899786676960367e-25
100,ST6GALNAC4,1.888055443763733,2.3713413067165076e-07
101,SFTA1P,1.8853572607040405,7.685681126584227e-32
102,CD3EAP,1.8834319114685059,2.111886409424807e-32
103,LINC01615,1.8820174932479858,1.8216467466539896e-12
104,TSPAN4,1.8807220458984375,1.5784359860537714e-19
105,SURF2,1.875431776046753,2.7340388377922756e-39
106,CKB,1.873225212097168,1.221345065909523e-41
107,RP11-76C10.5,1.8631378412246704,0.022720370838557838
108,NTMT1,1.8627954721450806,1.1096217655492516e-42
109,SAAL1,1.86238694190979,1.4203422592253304e-24
110,PAK1IP1,1.8578922748565674,9.376597608978505e-33
111,HERC5,1.8546521663665771,3.1974397805572136e-05
112,DUSP4,1.8482956886291504,0.01539549223825696
113,PLK2,1.842665195465088,2.298848664936041e-35
114,DDX21,1.840623378753662,1.7315347651279295e-75
115,LINC01611,1.8385982513427734,0.0014396599258894604
116,HPCAL1,1.838354229927063,1.3466684002106983e-05
117,ASNS,1.8250911235809326,0.00031434264200290966
118,HIST1H4C,1.8233344554901123,2.3592092334691e-49
119,CCNO,1.817737102508545,0.0006590530933441124
120,SLC25A22,1.8155570030212402,7.103301929094323e-05
121,C9orf40,1.810856819152832,9.351441408264345e-10
122,HAUS7,1.8107680082321167,6.829310632607407e-21
123,IRAK1,1.8099839687347412,1.2100203150434706e-05
124,IKBKG,1.8093628883361816,7.837880993087654e-05
125,YKT6,1.7983906269073486,9.999566705175373e-16
126,NEXN,1.797879695892334,0.0003693379269386621
127,PSPH,1.797038197517395,0.0072940111389338275
128,ADAMTS12,1.7904726266860962,0.0007697385374632024
129,BBC3,1.7865240573883057,0.0003017860753962502
130,NAA10,1.7856241464614868,9.805608370493518e-54
131,LAYN,1.7806003093719482,7.978931694836651e-05
132,CENPP,1.7695231437683105,4.993582628818898e-06
133,RIPK1,1.7692629098892212,0.012318603570552348
134,ATAD3C,1.7654846906661987,0.005288859815660726
135,NUP88,1.7638236284255981,0.00032713146036207033
136,SLC25A19,1.7588210105895996,9.598790925888331e-06
137,NGF,1.7583067417144775,0.04452856427477589
138,ZNF296,1.7562024593353271,0.019067136055565766
139,CYSRT1,1.749578595161438,2.5049830315228236e-09
140,THAP9-AS1,1.7480396032333374,0.02719287960601582
141,CPSF4,1.743712067604065,0.015712991889442487
142,MAP7D3,1.7425622940063477,2.2181794410766175e-27
143,LSG1,1.7379485368728638,1.9424283331987406e-06
144,POLE3,1.7378064393997192,2.711402720306246e-35
145,IFRD2,1.731787919998169,1.4327664317801896e-08
146,FPGS,1.728718876838684,1.9083229811304234e-11
