,genes,logfoldchange,pvals
0,CCL2,4.488187313079834,0.0001520445147557067
1,CTAG2,4.186692237854004,0.003945411509536056
2,ADGRE1,3.9792668819427486,1.863437529135328e-09
3,AR,3.7835733890533447,1.67763580253703e-05
4,PGM5,3.5347485542297363,0.04437986489854405
5,DSCR8,3.38342022895813,5.818457702793474e-09
6,RP11-149I23.3,3.2869234085083012,1.464787493437062e-30
7,TMLHE,3.2320590019226074,0.002810764941487901
8,CST4,3.100290060043335,0.016020537149056505
9,SERPINB2,3.0319294929504395,1.712894132960468e-09
10,TMCO2,2.814377546310425,0.002841321779485534
11,PAGE5,2.7285091876983643,8.890424552500256e-23
12,SAA1,2.591705799102783,0.01504849309908204
13,PCSK1N,2.5853078365325928,0.0006199351081477357
14,FAM49A,2.299298048019409,4.009605042138167e-07
15,SPDEF,2.1788036823272705,0.007574726622266958
16,C4BPB,2.0850756168365483,6.830591408745208e-25
17,MGAT4A,2.0217928886413574,0.02891195214194034
18,S100A4,1.9717959165573118,1.9288984572973624e-55
19,TP73-AS1,1.966073989868164,0.03877270213100621
20,AFAP1-AS1,1.9338611364364624,2.6282784203209157e-11
21,HMGN5,1.7654660940170288,6.275936427969893e-22
22,PRRG4,1.7352252006530762,0.0024647876658937897
23,CCL26,1.6864773035049438,2.281402347070894e-05
24,TSPAN8,1.6821044683456419,0.003188334263007943
25,CLDN4,1.6045511960983276,0.004158824086331252
26,C4orf19,1.6029586791992188,0.012651141508660188
27,BEX5,1.5604287385940552,0.009207256749930096
28,CCL28,1.52141535282135,0.0022801237931736077
29,FLJ22447,1.5113714933395386,0.012583087894387031
30,BEX2,1.508983850479126,2.8951190429457973e-08
31,SPOCK1,1.5028113126754759,0.016550507178669002
32,FAM84B,1.4968117475509644,0.02327994047139736
33,KCNAB2,1.4631147384643557,0.00014569960412320519
34,KANK1,1.4599626064300537,0.0067608850278057155
35,BST2,1.4567315578460691,2.082768840744325e-40
36,INHBA,1.447371244430542,0.03383766321957244
37,AFF3,1.436954140663147,1.6231776191038794e-32
38,IFIT2,1.4244642257690432,0.013778490122396616
39,CD74,1.368243932723999,1.8616627691089217e-06
40,SNX10,1.3543751239776611,0.0017275046004317394
41,SDC2,1.3530700206756592,8.553179135422659e-11
42,RP11-818F20.5,1.3514132499694824,2.0408372908009984e-06
43,GPAT2,1.3382539749145508,1.0292886439373733e-05
44,TENM1,1.2933223247528076,0.034915950605040165
45,NRK,1.2844829559326172,2.5746712724520804e-05
46,LINC01224,1.2828364372253418,9.365463768707878e-08
47,UPRT,1.266295313835144,0.0005829815692628398
48,SLAMF7,1.2616201639175415,6.237551543226596e-08
49,FAT3,1.239456295967102,3.153633797552055e-07
50,HIST1H4C,1.2138954401016235,2.1335145466526797e-49
51,LINC01207,1.2096203565597534,0.024723331226607338
52,SUSD3,1.206052541732788,5.813043643035437e-05
53,SLC22A18AS,1.202731370925903,0.00045717253583134717
54,PSG4,1.1990394592285156,0.00209154782946284
55,NANOS1,1.1958816051483154,1.0118889734290272e-15
56,ADAMTS12,1.1876391172409058,4.5311676387269955e-21
57,INSR,1.1827746629714966,8.799648034823114e-11
