,genes,logfoldchange,pvals
0,LINC00958,4.260209560394287,3.1897609660987475e-11
1,MMP1,3.3702566623687744,2.7588017256322254e-71
2,BAIAP2L2,3.262528896331787,2.6574475481276196e-15
3,PTGS1,3.233684539794922,2.0470160989102287e-14
4,ETV4,2.9390714168548584,1.1351264768450708e-08
5,LY6D,2.90901780128479,2.4602290577230045e-121
6,WIPF3,2.8682668209075928,0.020350200922106286
7,FOSL1,2.7220170497894287,7.263892715661202e-107
8,CCNA1,2.582291841506958,2.886525818878529e-23
9,MT1A,2.44449782371521,0.0007471716833025453
10,SH3PXD2A-AS1,2.4225332736968994,0.01838984855779415
11,SLC43A3,2.3844473361968994,6.676286709036897e-14
12,LINC00941,2.3793258666992188,1.2460529353323728e-06
13,CCDC86,2.2739715576171875,2.0827880280108348e-20
14,SRGN,2.196516513824463,0.008195751765015698
15,TMEM200A,2.119204044342041,0.03909083058815054
16,IL7R,2.104630708694458,1.3304948236094138e-08
17,HAS2,2.071716070175171,0.0006443646421181384
18,G0S2,2.05977201461792,2.7468774245440808e-36
19,ETV5,2.0438132286071777,1.130353574840036e-05
20,AEN,2.043199300765991,7.25674010502706e-05
21,POLR3G,2.0400235652923584,7.814688005562015e-14
22,TMEM171,2.0384910106658936,0.017908858195759242
23,NT5E,2.0111639499664307,1.343428348195576e-20
24,GAL,1.9822136163711548,2.88991282960019e-140
25,GPR153,1.9753390550613403,4.193075643750797e-05
26,ALOX12,1.965021014213562,0.006157726494394525
27,PGF,1.9418761730194092,0.035861846628758284
28,AXL,1.9154863357543945,1.6636040522246177e-18
29,PNO1,1.8971887826919556,8.458703554764058e-73
30,NPB,1.8781275749206543,0.00034503498567136585
31,PAQR5,1.8585410118103027,0.006992477357977195
32,URB2,1.8563828468322754,0.0008391396933113498
33,AC003075.4,1.8335299491882324,0.018663074364961195
34,ZMYND19,1.8242231607437134,9.965267061242037e-19
35,HPDL,1.8109210729599,0.017022872033237713
36,VPS9D1-AS1,1.7949010133743286,3.014584523611477e-06
37,TEX40,1.7892870903015137,1.3148058154428419e-09
38,DDX21,1.7868925333023071,9.57561132568324e-167
39,CD3EAP,1.7817704677581787,9.346194671442765e-81
40,CYCS,1.781222939491272,2.3346234874135726e-220
41,OXTR,1.7760169506072998,0.010981569450005155
42,PAK1IP1,1.7725884914398193,3.5115670083566716e-100
43,HBM,1.7626606225967407,0.024923618105041696
44,MATK,1.748204231262207,0.019030697109491596
45,RP11-132A1.4,1.7434957027435303,0.006358166158296048
46,RPP40,1.7257329225540161,2.844162744897646e-55
47,SLC27A4,1.7182050943374634,5.1290127428255274e-08
48,DUSP6,1.7093414068222046,3.8470795152065866e-24
49,NEURL1,1.7091063261032104,1.7883985482276614e-20
50,NOP16,1.7090134620666504,1.4711038833471545e-68
51,NME1,1.706006407737732,1.0254958216734952e-196
52,AFAP1L1,1.7014110088348389,0.03708842931262518
53,MFSD2A,1.6982622146606445,0.04575794487931913
54,PDCD2L,1.692540168762207,4.268654707268585e-19
55,RP11-180O5.2,1.6845146417617798,9.322488769093708e-14
56,SCLY,1.6526225805282593,0.008525775776283256
57,PPAT,1.6439481973648071,1.6624154555488925e-29
58,HSPH1,1.6419519186019897,1.0651814824196298e-135
59,HSPA8,1.641608715057373,1.3669800062690846e-199
60,C10orf2,1.6309903860092163,0.0011772262259452592
61,LYAR,1.617258071899414,8.280047548497347e-45
62,RRS1,1.616171956062317,3.972636179361966e-30
63,TCOF1,1.6134097576141357,4.295807722752307e-52
64,FKBP4,1.6069936752319336,8.385581352720268e-126
65,BOP1,1.6053369045257568,4.484555852648247e-81
66,FJX1,1.6050149202346802,4.496866365330678e-65
67,SERPINE2,1.6007885932922363,4.051124254676277e-56
68,SPANXC,1.5893441438674927,9.74342866945438e-06
69,HGH1,1.5691031217575073,1.5314483872477053e-13
70,PCED1B,1.5670629739761353,1.5354257594237917e-15
71,RIOK1,1.5627179145812988,6.822256805796255e-62
72,TFAP2E,1.5565069913864136,0.04907765695144054
73,SNHG15,1.5524417161941528,4.3183572131042396e-30
74,ZNF296,1.5464508533477783,4.01510938323771e-06
75,SRM,1.540293574333191,2.513859623552016e-117
76,CCNE1,1.5259017944335938,8.309107631416882e-23
77,WDR43,1.51669180393219,7.399575753062534e-123
78,PTGES2,1.5112426280975342,5.984714081652328e-73
79,ATG16L1,1.5098187923431396,0.009611359380500142
80,PPIF,1.5059438943862915,4.509891890124542e-61
81,NGF,1.5012977123260498,0.005516420998299272
82,NPM3,1.4965873956680298,5.789046704317016e-122
83,DDIAS,1.49339759349823,1.0253136223100537e-13
84,HSPD1,1.4892892837524414,4.917443348506738e-232
85,FHL1,1.4890035390853882,3.5857650900804894e-13
86,NEFH,1.4847376346588135,5.363466379981519e-14
87,MCTP1,1.4839986562728882,0.03307119328153145
88,TRPM2,1.4768041372299194,9.648893891299716e-08
89,EEF2KMT,1.4691417217254639,2.8328354130218314e-11
90,NOC3L,1.4607162475585938,2.6098282273682273e-45
91,UTP15,1.4605029821395874,2.2367720451397868e-05
92,ATAD3B,1.4574761390686035,1.211658204929582e-08
93,CFD,1.4513765573501587,1.0012516380638186e-51
94,NSMF,1.4479575157165527,2.884711403778008e-09
95,CTC-524C5.2,1.437528133392334,1.6712517445975452e-16
96,TRAF2,1.4366661310195923,3.0452185103010212e-18
97,FST,1.4304429292678833,3.7607270319169496e-10
98,ABCG2,1.429403305053711,0.021596593760562832
99,NOLC1,1.4158962965011597,2.1874929742318888e-70
100,MAP6D1,1.4145044088363647,0.0028333615181186734
101,EIF3B,1.4141420125961304,7.137293949967699e-86
102,LTV1,1.4140727519989014,2.7840378058351527e-34
103,UBE2S,1.4133834838867188,7.563284980830169e-66
104,TOMM40,1.4082902669906616,3.985019362649201e-77
105,WDR77,1.4015451669692993,2.7293410532146065e-35
106,CYSRT1,1.4002015590667725,4.826834405495876e-16
107,CTPS1,1.3944681882858276,7.823446714712284e-15
108,AIMP2,1.3891891241073608,2.0317030975161245e-85
109,INHBA,1.3878694772720337,6.410669798231786e-28
110,PITPNC1,1.3838655948638916,3.120600277880987e-07
111,VARS,1.3736131191253662,6.346787727792947e-27
112,STAMBPL1,1.372236728668213,0.004175857996328703
113,BST2,1.3692207336425781,1.0302703726394372e-59
114,NRSN2,1.368506669998169,0.044488462457489754
115,F3,1.3667371273040771,2.142799463121597e-89
116,POLE3,1.3644678592681885,4.6653974725711446e-67
117,HSPE1,1.3643311262130737,1.3034055166283917e-217
118,HIST1H2BJ,1.3614392280578613,1.164634634223994e-06
119,ZBTB2,1.3610316514968872,0.0012312296405070165
120,SOHLH2,1.3609272241592407,8.296603979193074e-12
121,CCL26,1.3608808517456055,6.894163013343025e-14
122,PSMD14,1.3577771186828613,1.7333732089709235e-98
123,NOP56,1.3562148809432983,2.051459928119349e-108
124,RPF2,1.3503109216690063,7.056316214918558e-52
125,NAT10,1.3499903678894043,1.2097506168799164e-23
126,MTHFD1L,1.348767638206482,7.266385646239707e-23
127,NOP58,1.3479070663452148,1.2264246607441229e-74
128,ST6GALNAC4,1.3473819494247437,1.5646867212500182e-17
129,ACOT7,1.3465709686279297,1.0820951243193033e-92
130,GRWD1,1.3411961793899536,8.274598186722485e-30
131,HSPA9,1.3371541500091553,3.448953959243263e-95
132,RHOF,1.3365741968154907,2.0752105655537167e-33
133,PDCD11,1.3354061841964722,2.7570217703792586e-30
134,NDUFAF2,1.3336390256881714,1.3370506076821915e-34
135,NDUFAF4,1.333466649055481,2.5008114567764856e-27
136,CCT6A,1.3308253288269043,1.7331416322076311e-137
137,RRP12,1.3305824995040894,2.1065761734503764e-05
138,TSR1,1.3299728631973267,4.0659371078759126e-47
139,BSPRY,1.3275147676467896,6.108949203682695e-07
140,WDR3,1.3265599012374878,4.0709472204683975e-16
141,TRMT6,1.3258053064346313,4.587896500036267e-30
142,YKT6,1.3190523386001587,1.697404014261098e-38
143,DUSP4,1.3186297416687012,1.4692210246758254e-12
144,COA7,1.3182518482208252,1.323079502664187e-09
145,RABEPK,1.3160640001296997,3.3408517449930317e-32
146,PNPT1,1.3145442008972168,2.954425291784163e-17
147,TUBA1B,1.3144701719284058,1.925073705322488e-61
148,AREG,1.3140276670455933,3.057634444559934e-33
149,TWISTNB,1.3123468160629272,2.2933999328181273e-46
150,STIP1,1.309530258178711,3.4591850063421227e-94
151,SFTA1P,1.3091371059417725,7.012033483015293e-52
152,IPPK,1.3058249950408936,0.007337555869421762
153,FAM25A,1.3051583766937256,1.6132617236087017e-27
154,AMZ1,1.3029556274414062,0.014466584258851032
155,BDKRB1,1.3026059865951538,0.022292765022957486
156,YRDC,1.3011831045150757,9.136614624442289e-23
157,MRTO4,1.2963980436325073,2.103703391353e-54
158,ADAT2,1.2961859703063965,0.04742659645511557
159,HLA-G,1.2960536479949951,1.0243796980092919e-17
160,HSP90AA1,1.2956535816192627,9.495537144312874e-187
161,SLC9A3R2,1.294065237045288,9.611187030496865e-35
162,MROH6,1.2922687530517578,5.047151333882031e-09
163,CCT5,1.2912378311157227,6.039574877033295e-191
164,RRP9,1.2873969078063965,1.1228786440935902e-13
165,SCFD2,1.2848007678985596,0.005647607906711888
166,FAM86C1,1.2786777019500732,0.0055137904797344685
167,PUS1,1.277292251586914,2.302393725823716e-21
168,LDHA,1.2734109163284302,7.872565625255516e-203
169,SLC6A8,1.2732319831848145,9.27685012311039e-05
170,BNIP3,1.2725685834884644,1.2203893789321872e-51
171,UTP4,1.2714347839355469,3.670104378268504e-24
172,ADAMTS1,1.2713972330093384,0.009821945867189832
