,genes,logfoldchange,pvals
0,RP11-149I23.3,2.3772246837615967,1.2976664764187996e-06
1,DSCR8,2.2840235233306885,0.034760645825604584
2,PAGE5,1.7106484174728394,0.024130328940739732
3,C4BPB,1.2461003065109253,0.0011859195556075334
4,S100A4,1.2339602708816528,1.1775564516719094e-07
5,HMGN5,1.1121996641159058,0.00014955188538443202
6,GPAT2,0.9853016138076782,0.04237703339964275
7,UPF3B,0.9721570014953613,5.999347412085755e-16
8,RPL27A,0.886375367641449,1.2898574622511544e-147
9,ATP5F1,0.8527699112892151,1.7064184337497176e-69
10,RPF2,0.8418635725975037,1.6465279273666765e-41
11,MRPL2,0.836689829826355,4.238493046037453e-40
12,ICAM2,0.8353848457336426,9.729238973152862e-07
13,BST2,0.8196771740913391,7.354779807589385e-07
14,UTP23,0.817260205745697,2.2000296903693165e-23
15,DECR1,0.7940436601638794,5.878054719641345e-22
16,MED19,0.7865779995918274,9.313771818851515e-24
17,ISYNA1,0.7740611433982849,0.03506566077072357
18,GLUL,0.766633927822113,0.018192326172701393
19,SDC2,0.7661308646202087,0.03290518454135977
20,STXBP2,0.7560980319976807,0.001571722032681111
21,NEU1,0.7545867562294006,7.883881385218397e-09
22,ZNF358,0.7541912794113159,0.024668762381752637
23,AK2,0.753769040107727,9.687662568088848e-30
24,MCOLN1,0.7527205944061279,0.0008075213441200948
25,RP9,0.7508652210235596,6.360296133765867e-22
26,PSMC2,0.7310590147972107,8.046396140352008e-28
27,RPS6,0.7227415442466736,7.699807234543341e-100
28,MTERF3,0.7220855355262756,4.3585888539154973e-07
29,UBA52,0.7154427766799927,4.6720661822070676e-151
30,NGDN,0.7131627202033997,4.800454305255516e-16
31,ZCCHC4,0.7073801159858704,0.015630637162801074
32,PIR,0.7050381302833557,0.040775020559915845
33,FCHO1,0.6941987872123718,0.013608736562731797
34,CTH,0.6938842535018921,0.016105153589822573
35,SGF29,0.6839317083358765,0.002337524750738734
36,ATP5O,0.6830613613128662,1.1267979870429658e-49
37,DRG1,0.681472897529602,3.643909404134042e-18
38,TUBA1C,0.6801614761352539,5.466273422789898e-63
39,CSTF2,0.679979681968689,7.888784806998105e-07
40,NCAPH,0.6758835315704346,8.736555918349855e-11
41,MED27,0.6658459305763245,1.2665439865894054e-08
42,PBDC1,0.6585760712623596,2.6522219484020643e-26
43,MUTYH,0.6535000205039978,0.0026798251043151475
44,RPL9,0.6463583707809448,3.855360749403535e-127
45,CD58,0.643326461315155,2.9887500364315795e-06
46,NOSIP,0.6352018117904663,5.791553401522334e-21
47,RPS11,0.6288630366325378,3.5840172122993396e-113
48,RPL23,0.6202274560928345,8.070666982631364e-114
49,RPS5,0.6172643899917603,1.7503088197401247e-133
50,RPP40,0.6160759329795837,5.031528680642496e-12
51,NOP16,0.6147568225860596,2.8741841720524987e-22
52,AIMP2,0.6136580109596252,1.2113142838145172e-23
53,ATP1A3,0.6129410266876221,0.041046504666996046
54,ARG2,0.6119042038917542,3.6469133508938617e-09
55,NOP58,0.6065443754196167,6.732001476520368e-26
56,WDR61,0.6036919951438904,5.532319148936664e-08
57,IDH3G,0.5971853733062744,9.860925486207099e-10
58,EIF2B3,0.5966074466705322,8.489490913984284e-11
59,TUBA1A,0.5965778827667236,1.7599216729154777e-08
60,SDAD1,0.5947098731994629,3.222748596941281e-12
