,genes,logfoldchange,pvals
0,LINC00958,4.769981861114502,0.003409888847264638
1,SRGN,3.7595224380493164,0.00976605347620719
2,PAPPA,3.2632791996002197,0.04767773728061201
3,HLA-G,3.2069480419158936,1.4072214935329155e-20
4,FHL1,2.7622885704040527,3.416629916764286e-05
5,PCED1B,2.643495559692383,1.17174860240541e-05
6,FAM127C,2.572676658630371,0.027206311054061627
7,NT5E,2.424525022506714,0.0016140619046150484
8,NEURL1,2.4165096282958984,1.3999076660872975e-06
9,FOXD3-AS1,2.3837406635284424,0.030280251252917195
10,CRABP2,2.2598838806152344,0.006961503267014318
11,LY6D,2.201747179031372,3.7268906613556715e-30
12,CD74,2.1880884170532227,0.001210128672994981
13,ESPN,2.1745636463165283,5.660913625553817e-06
14,MAD1L1,2.159160614013672,0.001416103360416028
15,TEX40,1.9721170663833618,0.006269628873308525
16,KLK5,1.9409232139587402,2.4784581869039843e-25
17,CKMT1B,1.9034943580627441,0.00013326877457447875
18,IL32,1.848383903503418,0.018823339715713684
19,NDN,1.8442274332046509,0.0004284577863235213
20,SPANXD,1.821825385093689,1.4835674150154843e-36
21,CST6,1.7795436382293701,2.9674772726658038e-30
22,GAL,1.7571378946304321,1.3250865925760651e-31
23,PDHX,1.7473987340927124,7.588634670771929e-13
24,RHOF,1.7429414987564087,1.4599590290396685e-08
25,IRAK1,1.7237675189971924,0.005952683798358739
26,WNT7A,1.7135871648788452,9.073126687073539e-06
27,ADAP1,1.7087538242340088,0.02690315562307323
28,FEN1,1.7015012502670288,0.0038252464975598813
29,CFD,1.695845603942871,1.1260186794296904e-14
30,CAMK1,1.6883344650268555,0.004318830001600298
31,PRRT3-AS1,1.6717530488967896,2.174303956421753e-07
32,CYSRT1,1.6716896295547485,0.0004658106838328762
33,G0S2,1.6554720401763916,7.21114537777394e-05
34,FOSL1,1.6481367349624634,4.04343457286978e-06
35,HAGLROS,1.6477903127670288,0.011598385334411017
36,NEIL3,1.6472876071929932,0.039177110909637824
37,LRRC26,1.6472606658935547,0.0005187180465556542
38,NAA10,1.6407051086425781,1.1372630057351769e-37
39,HPRT1,1.6374800205230713,1.0638081770575299e-18
